Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
5,1719507502488,27/06/2024 16:58:22,1719511102488,1,27/06/2024 18:58:22,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.7,2066.7,2066.7,2066.7,2066.7,2066.7,1,2066.7,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719507502490,27/06/2024 16:58:22,1719511102490,1,27/06/2024 18:58:22,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,info,audio started,3.000000000009095,0,3.000000000009095,3.000000000009095,0,3.000000000009095,1,3.000000000009095,0,0,,Audio Clip,Audio Clip,1,object-93,Task,595,,
7,1719507503088,27/06/2024 16:58:23,1719511103088,1,27/06/2024 18:58:23,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,601.1000000000149,600.2000000000007,601.1000000000149,601.1000000000149,600.2000000000007,601.1000000000149,1,601.1000000000149,0,0,,Time Limit,screen,0,screen,Task,595,,
8,1719507522235,27/06/2024 16:58:42,1719511122235,1,27/06/2024 18:58:42,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,800,10850.6,19133.199999999997,19147.6,10850.6,19133.199999999997,19147.6,1,10850.6,8296.999999999998,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
9,1719507527188,27/06/2024 16:58:47,1719511127188,1,27/06/2024 18:58:47,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,End,Screen 1,rw9j8x,1,continue,,4963.899999999998,4950.000000000004,4963.899999999998,4963.899999999998,4950.000000000004,4963.899999999998,1,4963.899999999998,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719507527189,27/06/2024 16:58:47,1719511127189,1,27/06/2024 18:58:47,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719507261102,27/06/2024 16:54:21,1719510861102,1,27/06/2024 18:54:21,161157,9,task-xpu5,,38548821,BLIND,11326385,,complete,,667d9908313c1b9d1df9149a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x702,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719507268309,27/06/2024 16:54:28,1719510868309,1,27/06/2024 18:54:28,161157,9,task-xpu5,,38548821,BLIND,11326385,,complete,,667d9908313c1b9d1df9149a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x702,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Instructions,Screen 1,3u35xa,1,continue,,7236.35400000596,7227.054,7236.35400000596,7236.35400000596,7227.054,7236.35400000596,1,7236.35400000596,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719507269846,27/06/2024 16:54:29,1719510869846,1,27/06/2024 18:54:29,161157,9,task-xpu5,,38548821,BLIND,11326385,,complete,,667d9908313c1b9d1df9149a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x702,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1547.4999999940392,1531.8999999999996,1547.4999999940392,1547.4999999940392,1531.8999999999996,1547.4999999940392,1,1547.4999999940392,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719507269847,27/06/2024 16:54:29,1719510869847,1,27/06/2024 18:54:29,161157,9,task-xpu5,,38548821,BLIND,11326385,,complete,,667d9908313c1b9d1df9149a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1536x864,1536x702,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1548.1999999821182,1531.8999999999996,1548.1999999821182,1548.1999999821182,1531.8999999999996,1548.1999999821182,1,1548.1999999821182,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
