Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
4,1719506129254,27/06/2024 16:35:29,1719506128115,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,birth.date-year,61
5,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,sex,Female
6,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,sex-quantised,2
7,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,sex-text,
8,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent1,1
9,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent2,1
10,1719506129254,27/06/2024 16:35:29,1719506128116,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent3,1
11,1719506129254,27/06/2024 16:35:29,1719506128117,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent4,1
12,1719506129254,27/06/2024 16:35:29,1719506128117,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent5,1
13,1719506129254,27/06/2024 16:35:29,1719506128117,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,Consent6,1
