Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
9,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent2,1
10,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent3,1
11,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent4,1
12,1722336260444,30/07/2024 10:44:20,1722336260895,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent5,1
13,1722336260444,30/07/2024 10:44:20,1722336260895,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent6,1
14,1722336260444,30/07/2024 10:44:20,1722336260895,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent7,1
15,1722336260444,30/07/2024 10:44:20,1722336260895,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,END QUESTIONNAIRE,34811
1,1722336237246,30/07/2024 10:43:57,1722336236839,1,30/07/2024 11:43:56,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,BEGIN QUESTIONNAIRE,
2,1722336302369,30/07/2024 10:45:02,1722336302015,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-day,16
3,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-month,3
4,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-year,29
5,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex,Male
6,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex-quantised,1
7,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex-text,
8,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent1,1
9,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent2,1
10,1722336302439,30/07/2024 10:45:02,1722336302016,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent3,1
11,1722336302439,30/07/2024 10:45:02,1722336302017,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent4,1
12,1722336302439,30/07/2024 10:45:02,1722336302017,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent5,1
13,1722336302439,30/07/2024 10:45:02,1722336302017,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent6,1
14,1722336302439,30/07/2024 10:45:02,1722336302017,1,30/07/2024 11:45:02,184566,2,questionnaire-i1ko,,39275058,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1857x966,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent7,1
